2016-03-28 11:46:25,072 | INFO  | Establishing network connection from vm://Broker-three?async=false to tcp://localhost:61618 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-three]
2016-03-28 11:46:25,078 | WARN  | Failed to add Connection Broker-three->Broker-two-62079-1458672414839-18244:1 due to javax.jms.InvalidClientIDException: Broker: Broker-three - Client: NC_Broker-two_inbound_Broker-three already connected from vm://Broker-three#4 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61618@53984, localBroker= vm://Broker-three#18240
2016-03-28 11:46:25,078 | INFO  | Network connection between vm://Broker-three#18240 and tcp://localhost/127.0.0.1:61618@53984 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-three - Client: NC_Broker-two_inbound_Broker-three already connected from vm://Broker-three#4 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61618@53984, localBroker= vm://Broker-three#18240
2016-03-28 11:46:25,080 | INFO  | Broker-three bridge to Broker-two stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-three] Task-612
2016-03-28 11:46:30,116 | INFO  | Establishing network connection from vm://Broker-three?async=false to tcp://localhost:61618 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-three]
2016-03-28 11:46:30,119 | WARN  | Failed to add Connection Broker-three->Broker-two-62079-1458672414839-18246:1 due to javax.jms.InvalidClientIDException: Broker: Broker-three - Client: NC_Broker-two_inbound_Broker-three already connected from vm://Broker-three#4 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61618@53986, localBroker= vm://Broker-three#18242
2016-03-28 11:46:30,119 | INFO  | Network connection between vm://Broker-three#18242 and tcp://localhost/127.0.0.1:61618@53986 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-three - Client: NC_Broker-two_inbound_Broker-three already connected from vm://Broker-three#4 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61618@53986, localBroker= vm://Broker-three#18242
2016-03-28 11:46:30,126 | INFO  | Broker-three bridge to Broker-two stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-three] Task-613
2016-03-28 11:46:35,161 | INFO  | Establishing network connection from vm://Broker-three?async=false to tcp://localhost:61618 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-three]
2016-03-28 11:46:35,165 | WARN  | Failed to add Connection Broker-three->Broker-two-62079-1458672414839-18248:1 due to javax.jms.InvalidClientIDException: Broker: Broker-three - Client: NC_Broker-two_inbound_Broker-three already connected from vm://Broker-three#4 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61618@53988, localBroker= vm://Broker-three#18244
2016-03-28 11:46:35,165 | INFO  | Network connection between vm://Broker-three#18244 and tcp://localhost/127.0.0.1:61618@53988 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-three - Client: NC_Broker-two_inbound_Broker-three already connected from vm://Broker-three#4 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61618@53988, localBroker= vm://Broker-three#18244
2016-03-28 11:46:35,166 | INFO  | Broker-three bridge to Broker-two stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-three] Task-605
2016-03-28 11:46:40,206 | INFO  | Establishing network connection from vm://Broker-three?async=false to tcp://localhost:61618 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-three]
2016-03-28 11:46:40,212 | WARN  | Failed to add Connection Broker-three->Broker-two-62079-1458672414839-18250:1 due to javax.jms.InvalidClientIDException: Broker: Broker-three - Client: NC_Broker-two_inbound_Broker-three already connected from vm://Broker-three#4 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61618@53990, localBroker= vm://Broker-three#18246
2016-03-28 11:46:40,212 | INFO  | Network connection between vm://Broker-three#18246 and tcp://localhost/127.0.0.1:61618@53990 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-three - Client: NC_Broker-two_inbound_Broker-three already connected from vm://Broker-three#4 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61618@53990, localBroker= vm://Broker-three#18246
2016-03-28 11:46:40,216 | INFO  | Broker-three bridge to Broker-two stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-three] Task-605
2016-03-28 11:46:45,251 | INFO  | Establishing network connection from vm://Broker-three?async=false to tcp://localhost:61618 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-three]
2016-03-28 11:46:45,255 | WARN  | Failed to add Connection Broker-three->Broker-two-62079-1458672414839-18252:1 due to javax.jms.InvalidClientIDException: Broker: Broker-three - Client: NC_Broker-two_inbound_Broker-three already connected from vm://Broker-three#4 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61618@53992, localBroker= vm://Broker-three#18248
2016-03-28 11:46:45,255 | INFO  | Network connection between vm://Broker-three#18248 and tcp://localhost/127.0.0.1:61618@53992 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-three - Client: NC_Broker-two_inbound_Broker-three already connected from vm://Broker-three#4 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61618@53992, localBroker= vm://Broker-three#18248
2016-03-28 11:46:45,258 | INFO  | Broker-three bridge to Broker-two stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-three] Task-613
2016-03-28 11:46:50,296 | INFO  | Establishing network connection from vm://Broker-three?async=false to tcp://localhost:61618 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-three]
2016-03-28 11:46:50,300 | WARN  | Failed to add Connection Broker-three->Broker-two-62079-1458672414839-18254:1 due to javax.jms.InvalidClientIDException: Broker: Broker-three - Client: NC_Broker-two_inbound_Broker-three already connected from vm://Broker-three#4 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61618@53994, localBroker= vm://Broker-three#18250
